,,,,,,,,,head,1,22,,,,,,,
,,,,,,,,,slide,2,63,,,,,,,
,,,,,,,,,lecture,3,11,,,,,,,
frame directory name,filename,vid_id,duration,# frames (5 fps),dur / frame checksum,random frame,Random 9/30,Classification,num_class,Random 9/30 - 2,Classification,num_class-2,Random 9/30 - 3,Classification,num_class-3,Random 9/30-4,Classification,num_class-4
H-PH207X-FA12-L1-3_100-pcKARsZY_-U,H-PH207X-FA12-L1-3_100-pcKARsZY_-U.mp4,pcKARsZY_-U,1448.76263,0,1448.76263,476,283,lecture,3,1055,slide,2,1312,head,1,1407,head,1
H-PH207X-FA12-L1-7_100-tgUZb7NROcc,H-PH207X-FA12-L1-7_100-tgUZb7NROcc.mp4,tgUZb7NROcc,841.421497,127,714.421497,91,228,slide,2,351,head,1,718,slide,2,775,head,1
H-PH207X-FA12-L1v2-10_100-xGQ_jYyI8tU,H-PH207X-FA12-L1v2-10_100-xGQ_jYyI8tU.mp4,xGQ_jYyI8tU,140.0399,149,-8.9601,55,0,slide,2,27,slide,2,66,slide,2,130,slide,2
H-PH207X-FA12-L1v2-9_100-9Ko-lDhuyX4,H-PH207X-FA12-L1v2-9_100-9Ko-lDhuyX4.mp4,9Ko-lDhuyX4,100.472744,102,-1.527256,59,9,lecture,3,10,lecture,3,14,slide,2,25,slide,2
H-PH207X-FA12-L3-15_100-Y7oFHMHahSs,H-PH207X-FA12-L3-15_100-Y7oFHMHahSs.mp4,Y7oFHMHahSs,846.390567,137,709.390567,565,10,slide,2,185,lecture,3,652,lecture,3,833,head,1
H-PH207X-FA12-L3-18_100-LG4d-WY5MWA,H-PH207X-FA12-L3-18_100-LG4d-WY5MWA.mp4,LG4d-WY5MWA,702.380408,129,573.380408,182,298,lecture,3,381,slide,2,554,slide,2,601,head,1
H-PH207X-FA12-L3-21_100-PHInesUbdio,H-PH207X-FA12-L3-21_100-PHInesUbdio.mp4,PHInesUbdio,97.941769,124,-26.058231,14,6,head,1,14,head,1,51,slide,2,67,slide,2
H-PH207X-FA12-L3-6b_100-zP3rAFSjU2w,H-PH207X-FA12-L3-6b_100-zP3rAFSjU2w.mp4,zP3rAFSjU2w,389.32898,0,389.32898,168,95,slide,2,113,slide,2,132,head,1,151,slide,2
H-PH207X-FA12-L4-14_100-J2_SDxpXbYw,H-PH207X-FA12-L4-14_100-J2_SDxpXbYw.mp4,J2_SDxpXbYw,729.849615,193,536.849615,698,135,slide,2,424,slide,2,481,slide,2,484,slide,2
H-PH207X-FA12-L6-1_100-WCZdhQIzo6U,H-PH207X-FA12-L6-1_100-WCZdhQIzo6U.mp4,WCZdhQIzo6U,864.409252,0,864.409252,516,131,slide,2,291,slide,2,813,slide,2,832,slide,2
H-PH207X-FA12-L6-14_100-5ZB07rXTe-0,H-PH207X-FA12-L6-14_100-5ZB07rXTe-0.mp4,5ZB07rXTe-0,506.380771,0,506.380771,385,6,slide,2,184,slide,2,380,slide,2,438,slide,2
H-PH207X-FA12-L6-15_100-9GZrM-4Z03k,H-PH207X-FA12-L6-15_100-9GZrM-4Z03k.mp4,9GZrM-4Z03k,911.1278,115,796.1278,692,55,head,1,89,lecture,3,292,head,1,593,lecture,3
H-PH207X-FA12-L6-25_100-mIxSWBspUbY,H-PH207X-FA12-L6-25_100-mIxSWBspUbY.mp4,mIxSWBspUbY,669.036553,117,552.036553,129,166,slide,2,301,head,1,377,head,1,460,head,1
H-PH207X-FA12-L6-26_100-jfA70VJAPFE,H-PH207X-FA12-L6-26_100-jfA70VJAPFE.mp4,jfA70VJAPFE,1188.931338,126,1062.931338,502,225,head,1,437,head,1,608,head,1,757,head,1
H-PH207X-FA12-L6-27_100-3lTItQsgSDs,H-PH207X-FA12-L6-27_100-3lTItQsgSDs.mp4,3lTItQsgSDs,262.013968,81,181.013968,188,121,slide,2,168,slide,2,195,slide,2,217,slide,2
H-PH207X-FA12-L6-28_100-lKnVExD5G5E,H-PH207X-FA12-L6-28_100-lKnVExD5G5E.mp4,lKnVExD5G5E,355.334966,0,355.334966,66,51,slide,2,122,slide,2,194,slide,2,217,slide,2
